!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
rate of reaction	GTPCI	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R00424
rate of reaction	GTPCII2	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R00425
rate of reaction	HCO3E	1.60E-05	1.80E-05	2.90E-05	3.10E-05	3.10E-05	3.20E-05	3.80E-05	3.80E-05	4.40E-05	4.50E-05	4.50E-05	5.10E-05	5.30E-05	5.80E-05	5.80E-05	6.00E-05	6.10E-05	6.40E-05	6.70E-05	6.70E-05	6.90E-05	6.90E-05	7.20E-05	7.30E-05	7.40E-05	8.00E-05	8.00E-05	8.50E-05	9.20E-05	9.50E-05	9.60E-05	
rate of reaction	HISTD	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	HISTP	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	R03013
rate of reaction	HMBS	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R00084
rate of reaction	HPPK2	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R03503
rate of reaction	HSK	1.70E-05	1.80E-05	3.00E-05	3.20E-05	3.20E-05	3.30E-05	3.90E-05	3.90E-05	4.50E-05	4.70E-05	4.70E-05	5.30E-05	5.40E-05	6.00E-05	6.00E-05	6.20E-05	6.30E-05	6.70E-05	7.00E-05	7.00E-05	7.10E-05	7.10E-05	7.40E-05	7.60E-05	7.70E-05	8.30E-05	8.30E-05	8.80E-05	9.50E-05	9.80E-05	1.00E-04	R01771
rate of reaction	HSST	4.70E-06	5.10E-06	8.60E-06	9.00E-06	9.00E-06	9.40E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.40E-05	2.50E-05	2.70E-05	2.80E-05	2.80E-05	R01777
rate of reaction	HSTPT	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	
rate of reaction	I4FE4SR	7.90E-09	8.70E-09	1.40E-08	1.50E-08	1.50E-08	1.60E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.20E-08	2.50E-08	2.60E-08	2.90E-08	2.90E-08	3.00E-08	3.00E-08	3.20E-08	3.30E-08	3.30E-08	3.40E-08	3.40E-08	3.50E-08	3.60E-08	3.70E-08	4.00E-08	4.00E-08	4.20E-08	4.60E-08	4.70E-08	4.80E-08	
rate of reaction	ICDHyr	2.20E-04	2.30E-04	3.30E-04	3.40E-04	3.40E-04	3.50E-04	4.00E-04	4.00E-04	4.50E-04	4.60E-04	4.60E-04	5.10E-04	5.20E-04	5.30E-04	5.70E-04	5.80E-04	1.90E-04	6.20E-04	6.40E-04	6.40E-04	4.50E-04	6.50E-04	6.70E-04	6.90E-04	7.00E-04	7.50E-04	7.50E-04	7.80E-04	8.40E-04	8.60E-04	8.80E-04	
rate of reaction	ICYSDS	5.50E-08	6.00E-08	1.00E-07	1.10E-07	1.10E-07	1.10E-07	1.30E-07	1.30E-07	1.50E-07	1.60E-07	1.60E-07	1.80E-07	1.80E-07	2.00E-07	2.00E-07	2.10E-07	2.10E-07	2.20E-07	2.30E-07	2.30E-07	2.40E-07	2.40E-07	2.50E-07	2.50E-07	2.60E-07	2.80E-07	2.80E-07	2.90E-07	3.20E-07	3.30E-07	3.30E-07	
rate of reaction	IGPDH	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	R03457
rate of reaction	IGPS	1.70E-06	1.90E-06	3.20E-06	3.30E-06	3.30E-06	3.50E-06	4.10E-06	4.10E-06	4.70E-06	4.90E-06	4.90E-06	5.50E-06	5.70E-06	6.30E-06	6.30E-06	6.50E-06	6.60E-06	6.90E-06	7.30E-06	7.30E-06	7.40E-06	7.40E-06	7.70E-06	7.90E-06	8.10E-06	8.70E-06	8.70E-06	9.20E-06	9.90E-06	1.00E-05	1.00E-05	R03508
rate of reaction	ILETA_reverse	8.90E-06	9.70E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.50E-05	2.80E-05	2.90E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.60E-05	3.70E-05	3.70E-05	3.80E-05	3.80E-05	4.00E-05	4.00E-05	4.10E-05	4.40E-05	4.40E-05	4.70E-05	5.10E-05	5.20E-05	5.30E-05	
rate of reaction	IMPC_reverse	1.70E-05	1.80E-05	3.00E-05	3.20E-05	3.20E-05	3.30E-05	3.90E-05	3.90E-05	4.50E-05	4.70E-05	4.70E-05	5.30E-05	5.40E-05	6.00E-05	6.00E-05	6.20E-05	6.30E-05	6.60E-05	6.90E-05	6.90E-05	7.10E-05	7.10E-05	7.40E-05	7.50E-05	7.70E-05	8.30E-05	8.30E-05	8.70E-05	9.50E-05	9.80E-05	1.00E-04	
rate of reaction	IMPD	7.40E-06	8.10E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.00E-05	2.10E-05	2.10E-05	2.40E-05	2.40E-05	2.70E-05	2.70E-05	2.80E-05	2.80E-05	3.00E-05	3.10E-05	3.10E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.50E-05	3.70E-05	3.70E-05	3.90E-05	4.30E-05	4.40E-05	4.50E-05	R01130
rate of reaction	IPDPS	6.50E-08	7.00E-08	1.20E-07	1.20E-07	1.20E-07	1.30E-07	1.50E-07	1.50E-07	1.80E-07	1.80E-07	1.80E-07	2.10E-07	2.10E-07	2.30E-07	2.30E-07	2.40E-07	2.50E-07	2.60E-07	2.70E-07	2.70E-07	2.80E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.20E-07	3.20E-07	3.40E-07	3.70E-07	3.80E-07	3.90E-07	
rate of reaction	IPMD	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.80E-05	3.30E-05	3.30E-05	3.80E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.30E-05	5.50E-05	5.80E-05	5.80E-05	5.90E-05	5.90E-05	6.10E-05	6.30E-05	6.40E-05	6.90E-05	6.90E-05	7.30E-05	7.90E-05	8.10E-05	8.30E-05	R04426
rate of reaction	IPPS	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.80E-05	3.30E-05	3.30E-05	3.80E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.30E-05	5.50E-05	5.80E-05	5.80E-05	5.90E-05	5.90E-05	6.10E-05	6.30E-05	6.40E-05	6.90E-05	6.90E-05	7.30E-05	7.90E-05	8.10E-05	8.30E-05	R01213
rate of reaction	K2L4Aabcpp	5.90E-07	6.50E-07	1.10E-06	1.10E-06	1.10E-06	1.20E-06	1.40E-06	1.40E-06	1.60E-06	1.70E-06	1.70E-06	1.90E-06	1.90E-06	2.20E-06	2.20E-06	2.20E-06	2.30E-06	2.40E-06	2.50E-06	2.50E-06	2.50E-06	2.50E-06	2.60E-06	2.70E-06	2.80E-06	3.00E-06	3.00E-06	3.10E-06	3.40E-06	3.50E-06	3.60E-06	
rate of reaction	KARA1_reverse	2.70E-05	2.90E-05	4.90E-05	5.10E-05	5.10E-05	5.30E-05	6.30E-05	6.30E-05	7.30E-05	7.50E-05	7.50E-05	8.50E-05	8.70E-05	9.70E-05	9.70E-05	1.00E-04	1.00E-04	1.10E-04	1.10E-04	1.10E-04	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.40E-04	1.50E-04	1.60E-04	1.60E-04	
rate of reaction	KARA2	8.90E-06	9.70E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.50E-05	2.80E-05	2.90E-05	3.20E-05	3.20E-05	3.30E-05	3.40E-05	3.60E-05	3.70E-05	3.70E-05	3.80E-05	3.80E-05	4.00E-05	4.00E-05	4.10E-05	4.40E-05	4.40E-05	4.70E-05	5.10E-05	5.20E-05	5.30E-05	
rate of reaction	KDOCT2	1.20E-06	1.30E-06	2.20E-06	2.30E-06	2.30E-06	2.40E-06	2.80E-06	2.80E-06	3.20E-06	3.40E-06	3.40E-06	3.80E-06	3.90E-06	4.30E-06	4.30E-06	4.40E-06	4.50E-06	4.80E-06	5.00E-06	5.00E-06	5.10E-06	5.10E-06	5.30E-06	5.40E-06	5.50E-06	5.90E-06	5.90E-06	6.30E-06	6.80E-06	7.00E-06	7.10E-06	
rate of reaction	KDOPP	1.20E-06	1.30E-06	2.20E-06	2.30E-06	2.30E-06	2.40E-06	2.80E-06	2.80E-06	3.20E-06	3.40E-06	3.40E-06	3.80E-06	3.90E-06	4.30E-06	4.30E-06	4.40E-06	4.50E-06	4.80E-06	5.00E-06	5.00E-06	5.10E-06	5.10E-06	5.30E-06	5.40E-06	5.50E-06	5.90E-06	5.90E-06	6.30E-06	6.80E-06	7.00E-06	7.10E-06	
rate of reaction	KDOPS	1.20E-06	1.30E-06	2.20E-06	2.30E-06	2.30E-06	2.40E-06	2.80E-06	2.80E-06	3.20E-06	3.40E-06	3.40E-06	3.80E-06	3.90E-06	4.30E-06	4.30E-06	4.40E-06	4.50E-06	4.80E-06	5.00E-06	5.00E-06	5.10E-06	5.10E-06	5.30E-06	5.40E-06	5.50E-06	5.90E-06	5.90E-06	6.30E-06	6.80E-06	7.00E-06	7.10E-06	R03254
rate of reaction	LPADSS	5.90E-07	6.50E-07	1.10E-06	1.10E-06	1.10E-06	1.20E-06	1.40E-06	1.40E-06	1.60E-06	1.70E-06	1.70E-06	1.90E-06	1.90E-06	2.20E-06	2.20E-06	2.20E-06	2.30E-06	2.40E-06	2.50E-06	2.50E-06	2.50E-06	2.50E-06	2.60E-06	2.70E-06	2.80E-06	3.00E-06	3.00E-06	3.10E-06	3.40E-06	3.50E-06	3.60E-06	R04606
rate of reaction	MDH	2.20E-04	2.30E-04	3.20E-04	3.40E-04	3.40E-04	3.50E-04	4.00E-04	4.00E-04	4.40E-04	4.60E-04	4.60E-04	5.00E-04	5.10E-04	1.10E-03	5.60E-04	5.70E-04	5.30E-04	9.80E-04	6.30E-04	6.30E-04	4.50E-04	6.50E-04	6.70E-04	6.80E-04	6.90E-04	7.40E-04	7.40E-04	7.80E-04	8.30E-04	8.60E-04	8.70E-04	R00342
rate of reaction	MECDPS	7.30E-08	8.00E-08	1.30E-07	1.40E-07	1.40E-07	1.50E-07	1.70E-07	1.70E-07	2.00E-07	2.10E-07	2.10E-07	2.30E-07	2.40E-07	2.70E-07	2.70E-07	2.70E-07	2.80E-07	2.90E-07	3.10E-07	3.10E-07	3.10E-07	3.10E-07	3.30E-07	3.30E-07	3.40E-07	3.60E-07	3.60E-07	3.80E-07	4.20E-07	4.30E-07	4.40E-07	
rate of reaction	MEPCT	7.30E-08	8.00E-08	1.30E-07	1.40E-07	1.40E-07	1.50E-07	1.70E-07	1.70E-07	2.00E-07	2.10E-07	2.10E-07	2.30E-07	2.40E-07	2.70E-07	2.70E-07	2.70E-07	2.80E-07	2.90E-07	3.10E-07	3.10E-07	3.10E-07	3.10E-07	3.30E-07	3.30E-07	3.40E-07	3.60E-07	3.60E-07	3.80E-07	4.20E-07	4.30E-07	4.40E-07	
rate of reaction	METAT	2.70E-08	3.00E-08	5.00E-08	5.20E-08	5.20E-08	5.50E-08	6.50E-08	6.50E-08	7.50E-08	7.70E-08	7.70E-08	8.70E-08	9.00E-08	1.00E-07	1.00E-07	1.00E-07	1.00E-07	1.10E-07	1.10E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	1.20E-07	1.30E-07	1.40E-07	1.40E-07	1.40E-07	1.60E-07	1.60E-07	1.60E-07	
rate of reaction	METS	4.70E-06	5.10E-06	8.60E-06	9.00E-06	9.00E-06	9.40E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.40E-05	2.50E-05	2.70E-05	2.80E-05	2.80E-05	R00946
rate of reaction	MOAT	5.90E-07	6.50E-07	1.10E-06	1.10E-06	1.10E-06	1.20E-06	1.40E-06	1.40E-06	1.60E-06	1.70E-06	1.70E-06	1.90E-06	1.90E-06	2.20E-06	2.20E-06	2.20E-06	2.30E-06	2.40E-06	2.50E-06	2.50E-06	2.50E-06	2.50E-06	2.60E-06	2.70E-06	2.80E-06	3.00E-06	3.00E-06	3.10E-06	3.40E-06	3.50E-06	3.60E-06	R04658
rate of reaction	MOAT2	5.90E-07	6.50E-07	1.10E-06	1.10E-06	1.10E-06	1.20E-06	1.40E-06	1.40E-06	1.60E-06	1.70E-06	1.70E-06	1.90E-06	1.90E-06	2.20E-06	2.20E-06	2.20E-06	2.30E-06	2.40E-06	2.50E-06	2.50E-06	2.50E-06	2.50E-06	2.60E-06	2.70E-06	2.80E-06	3.00E-06	3.00E-06	3.10E-06	3.40E-06	3.50E-06	3.60E-06	R05074
rate of reaction	MOCOS	3.70E-09	4.10E-09	6.80E-09	7.10E-09	7.10E-09	7.50E-09	8.80E-09	8.80E-09	1.00E-08	1.10E-08	1.10E-08	1.20E-08	1.20E-08	1.40E-08	1.40E-08	1.40E-08	1.40E-08	1.50E-08	1.60E-08	1.60E-08	1.60E-08	1.60E-08	1.70E-08	1.70E-08	1.70E-08	1.90E-08	1.90E-08	2.00E-08	2.10E-08	2.20E-08	2.20E-08	
rate of reaction	MOHMT	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R01226
rate of reaction	MPTAT	7.50E-09	8.10E-09	1.40E-08	1.40E-08	1.40E-08	1.50E-08	1.80E-08	1.80E-08	2.00E-08	2.10E-08	2.10E-08	2.40E-08	2.40E-08	2.70E-08	2.70E-08	2.80E-08	2.80E-08	3.00E-08	3.10E-08	3.10E-08	3.20E-08	3.20E-08	3.30E-08	3.40E-08	3.50E-08	3.70E-08	3.70E-08	3.90E-08	4.30E-08	4.40E-08	4.50E-08	R09726
rate of reaction	MPTSS	1.50E-08	1.60E-08	2.70E-08	2.80E-08	2.80E-08	3.00E-08	3.50E-08	3.50E-08	4.10E-08	4.20E-08	4.20E-08	4.70E-08	4.90E-08	5.40E-08	5.40E-08	5.60E-08	5.70E-08	6.00E-08	6.20E-08	6.20E-08	6.40E-08	6.40E-08	6.60E-08	6.80E-08	6.90E-08	7.50E-08	7.50E-08	7.90E-08	8.50E-08	8.80E-08	8.90E-08	
rate of reaction	MTHFC	3.00E-05	3.30E-05	5.50E-05	5.80E-05	5.80E-05	6.00E-05	7.10E-05	7.10E-05	8.20E-05	8.50E-05	8.50E-05	9.60E-05	9.90E-05	1.10E-04	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.40E-04	1.40E-04	1.50E-04	1.50E-04	1.60E-04	1.70E-04	1.80E-04	1.80E-04	R01655
rate of reaction	MTHFD	3.00E-05	3.30E-05	5.50E-05	5.80E-05	5.80E-05	6.00E-05	7.10E-05	7.10E-05	8.20E-05	8.50E-05	8.50E-05	9.60E-05	9.90E-05	1.10E-04	1.10E-04	1.10E-04	1.20E-04	1.20E-04	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.30E-04	1.40E-04	1.40E-04	1.50E-04	1.50E-04	1.60E-04	1.70E-04	1.80E-04	1.80E-04	R01220
rate of reaction	MTHFR2	4.70E-06	5.10E-06	8.60E-06	9.00E-06	9.00E-06	9.40E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.40E-05	2.40E-05	2.50E-05	2.70E-05	2.80E-05	2.80E-05	
rate of reaction	NADK	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R00104
rate of reaction	NADS1	7.00E-08	7.60E-08	1.30E-07	1.30E-07	1.30E-07	1.40E-07	1.60E-07	1.60E-07	1.90E-07	2.00E-07	2.00E-07	2.20E-07	2.30E-07	2.50E-07	2.50E-07	2.60E-07	2.70E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.00E-07	3.10E-07	3.20E-07	3.20E-07	3.50E-07	3.50E-07	3.70E-07	4.00E-07	4.10E-07	4.20E-07	R00189
rate of reaction	NI2tpp	9.90E-09	1.10E-08	1.80E-08	1.90E-08	1.90E-08	2.00E-08	2.30E-08	2.30E-08	2.70E-08	2.80E-08	2.80E-08	3.10E-08	3.20E-08	3.60E-08	3.60E-08	3.70E-08	3.80E-08	3.90E-08	4.10E-08	4.10E-08	4.20E-08	4.20E-08	4.40E-08	4.50E-08	4.60E-08	4.90E-08	4.90E-08	5.20E-08	5.70E-08	5.80E-08	5.90E-08	
rate of reaction	NNATr	7.00E-08	7.60E-08	1.30E-07	1.30E-07	1.30E-07	1.40E-07	1.60E-07	1.60E-07	1.90E-07	2.00E-07	2.00E-07	2.20E-07	2.30E-07	2.50E-07	2.50E-07	2.60E-07	2.70E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.00E-07	3.10E-07	3.20E-07	3.20E-07	3.50E-07	3.50E-07	3.70E-07	4.00E-07	4.10E-07	4.20E-07	
rate of reaction	NNDPR	7.00E-08	7.60E-08	1.30E-07	1.30E-07	1.30E-07	1.40E-07	1.60E-07	1.60E-07	1.90E-07	2.00E-07	2.00E-07	2.20E-07	2.30E-07	2.50E-07	2.50E-07	2.60E-07	2.70E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.00E-07	3.10E-07	3.20E-07	3.20E-07	3.50E-07	3.50E-07	3.70E-07	4.00E-07	4.10E-07	4.20E-07	R03348
rate of reaction	OCTDPS	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R09248
rate of reaction	OGMEACPD	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R10117
rate of reaction	OGMEACPR	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	
rate of reaction	OGMEACPS	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	
rate of reaction	OHPBAT	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R05085
rate of reaction	OMPDC	1.00E-05	1.10E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.40E-05	2.40E-05	2.80E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.70E-05	3.70E-05	3.80E-05	3.90E-05	4.00E-05	4.20E-05	4.20E-05	4.30E-05	4.30E-05	4.50E-05	4.60E-05	4.70E-05	5.10E-05	5.10E-05	5.30E-05	5.80E-05	6.00E-05	6.10E-05	R00965
rate of reaction	OPHHX	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	
rate of reaction	OPMEACPD	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R10121
rate of reaction	OPMEACPR	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	
rate of reaction	OPMEACPS	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	
